0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Rio Blanco,Colorado,"5,058","6,807",000000000000,115924300007,http://www.rbc.us/,Meeker,1889,"3,223",2
Rio Grande,Colorado,"13,241","11,803",0000000000,1001111010,http://www.riograndecounty.org/,Del Norte,1874,912,13
Routt,Colorado,"24,715","23,513",000000000,104400006,http://www.co.routt.co.us/,Steamboat Springs,1877,"2,368",10
Saguache,Colorado,"21,737","6,208",No record found,No record found,http://www.saguachecounty.net/,Saguache,1866,"3,170",2
San Juan,Colorado,"4,376",692,No record found,No record found,http://www.sanjuancountycolorado.us/,Silverton,1876,388,2
San Miguel,Colorado,"10,274","7,678",000-0000000,101-0000001,http://www.sanmiguelcounty.org/,Telluride,1861,"1,289",6
Sedgwick,Colorado,"220,111","2,360",00000000,10001010,http://www.sedgwickcountygov.net/,Julesburg,1889,549,4
Summit,Colorado,"22,261","28,649",0000000,1000001,http://www.co.summit.co.us/,Breckenridge,1861,619,46
Teller,Colorado,"31,387","23,275",0000000000000,1002500010020,http://www.co.teller.co.us/,Cripple Creek,1899,559,42
Washington,Colorado,"7,720","4,803",00000000000,10000000005,http://co.washington.co.us/,Akron,1887,"2,524",2
Weld,Colorado,"235,185","269,785",000000000000,105105000013,http://www.co.weld.co.us/,Greeley,1861,"4,017",67
Yuma,Colorado,"13,321","10,151",R000000,R514001,http://www.yumacounty.net/,Wray,1889,"2,369",4
