0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Loudon,Tennessee,"33,410","50,448",000O-D-000.00,104O-D-032.00,http://www.loudoncounty-tn.gov,Loudon,1870,247,51130
McMinn,Tennessee,"30,157","52,341",000-000.00,100-001.00,http://www.mcminncountytn.gov/,Athens,"1,819",432,121
McNairy,Tennessee,"18,398","26,140",000-000.00,100-001.01,http://www.mcnairycountytn.com/,Selmer,1823,564,46
Macon,Tennessee,"12,735","22,701",00-0-00.,10-0-61.,http://www.maconcountytn.gov/,Lafayette,1842,307,74
Madison,Tennessee,"47,263","98,733",00-0-00.,10-1-44.,http://www.co.madison.tn.us/,Jackson,1821,559,177
Marion,Tennessee,"20,173","28,374",000-000.00,100-001.00,N/A,Jasper,1817,512,55
Marshall,Tennessee,"16,480","31,130",000-000.00,100-001.00,http://www.marshallcountytn.com,Lewisburg,"1,836",376,83
Maury,Tennessee,"41,661","83,761",000-000.00,100-001.00,http://www.maurycounty-tn.gov/,Columbia,1807,616,136
Meigs,Tennessee,"8,906","11,649",000C-D-000.00,110C-D-001.00,N/A,Decatur,1836,217,54
Monroe,Tennessee,"28,561","45,265",000-000.00,101-001.00,http://www.monroegovernment.org/,Madisonville,1819,653,69
Montgomery,Tennessee,"73,307","184,119",00-0-00.,10-1-05.,http://www.mcgtn.org/,Clarksville,1796,544,339
Moore,Tennessee,"3,891","6,301",00-0-00.,10-0-02.,N/A,Lynchburg,1871,130,48
Morgan,Tennessee,"13,470","21,915",000-000.00,100-001.00,http://www.morgancountytn.gov/,Wartburg,1817,522,42
Obion,Tennessee,"19,427","31,131",00-0-00.,10-0-60.,N/A,Union City,1823,556,56
Overton,Tennessee,"14,748","22,075",000-000.00,100-001.00,http://www.overtoncountytn.com/,Livingston,"1,806",435,51
Perry,Tennessee,"7,874","7,869",000-000.00,100-002.01,http://www.perrycountytennessee.com/,Linden,"1,819",423,19
Pickett,Tennessee,"5,576","5,090",no records found,no records found,N/A,Byrdstown,1879,174,29
Polk,Tennessee,"12,692","16,690",000-000.00,103-001.00,http://www.polkgovernment.com/,Benton,1839,442,38
Putnam,Tennessee,"35,505","73,525",00-0-00.,10-0-37.,http://www.putnamcountytn.gov/,Cookeville,1842,403,183
Rhea,Tennessee,"20,759","32,513",000-000.00,100-001.00,http://rheacountytn.com/,Dayton,1807,336,97
Roane,Tennessee,"34,765","53,047",000-000.00,100-001.00,http://www.roanegov.org/,Kingston,"1,801",395,134
Robertson,Tennessee,"34,179","67,383",000-000.00,100-001.00,http://www.robertsoncountytn.org/,Springfield,1796,476,141
Rutherford,Tennessee,"106,069","281,029",000 00000 000,101 00101 000,http://www.rutherfordcountytn.gov,Murfreesboro,1803,450,450
Scott,Tennessee,"14,480","22,015",000-000.00,100-001.00,http://www.scottcounty.com,Huntsville,1849,533,41
Sequatchie,Tennessee,"11,651","14,681",000-000.00,101-001.02,http://www.sequatchiecounty-tn.gov/,Dunlap,1857,266,55
Sevier,Tennessee,"68,256","93,570",000-000.00,100-002.00,http://www.seviercountytn.org/,Sevierville,1794,598,157
Shelby,Tennessee,"348,116","939,465",00-0000-0-00000,10-0181-0-01600,http://www.shelbycountytn.gov,Memphis,1819,785,1197
Smith,Tennessee,"11,240","19,074",000-000.00,100-001.00,http://www.smithcounty.com/,Carthage,1799,325,59
