0,1,2,3,4,5,6,7,8,9
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*
Bristol,Rhode Island,"22,505","49,220",BRIS-000000-000000-000000,BRIS-000061-000000-000080,,,,
Kent,Rhode Island,"60,751","165,035",No records found,No records found,,,,
Newport,Rhode Island,"36,876","82,397",NEWP-000000-000000-000000,NEWP-000011-000000-000506,,,,
Providence,Rhode Island,"194,431","628,600",PROV-000000-000000-000000,PROV-910487-000000-000000,,,,
Washington,Rhode Island,"69,714","126,259",No records found,No records found,,,,
