0,1,2,3,4,5,6,7,8,9,10
Lancaster,Nebraska,"109,685","297,036",00-00-000-000-000,10-19-100-001-000,http://www.lancaster.ne.gov,Lincoln,1854,846,351
Lincoln,Nebraska,"24,253","36,051",0000,1000,http://www.co.lincoln.ne.us/,North Platte,1860,2575,14
Logan,Nebraska,"1,188",763,no records found,no records found,n/a,Stapleton,1885,571,1
Loup,Nebraska,"2,209",576,000000000,580000001,http://www.co.loup.ne.us,Taylor,1883,571,1
McPherson,Nebraska,"17,577",526,000000000,600000168,n/a,Tryon,1887,860,1
Madison,Nebraska,"20,427","35,278",000000000,590000004,http://madisoncountyne.com/,Madison,1856,575,61
Merrick,Nebraska,"6,949","7,802",no records found,no records found,http://www.merrickcounty.ne.gov,Central City,1858,494,16
Morrill,Nebraska,"7,787","4,908",0000000000,1100001380,http://www.morrillcounty.ne.gov/,Bridgeport,1908,1430,3
Nance,Nebraska,"4,855","3,623",000000000,100000100,http://www.co.nance.ne.us,Fullerton,1879,448,8
Nemaha,Nebraska,"7,152","7,157",no records found,no records found,http://www.nemahacounty.ne.gov/,Auburn,1855,410,17
Nuckolls,Nebraska,"6,696","4,413",000000,130513,http://www.nuckollscounty.ne.gov,Nelson,1860,576,8
Otoe,Nebraska,"12,961","15,752",no records found,no records found,http://www.co.otoe.ne.us/,Nebraska City,1854,619,25
Pawnee,Nebraska,"4,857","2,709",0000000000,1050141316,http://www.co.pawnee.ne.us,Pawnee City,1854,433,6
Perkins,Nebraska,"4,830","2,921",no records found,no records found,http://www.co.perkins.ne.us/,Grant,1887,884,3
Phelps,Nebraska,"7,843","9,213",no records found,no records found,http://www.phelpsgov.org/,Holdrege,1873,540,17
Pierce,Nebraska,"6,746","7,150",000000000,700000014,http://www.co.pierce.ne.us/,Pierce,1856,575,12
Platte,Nebraska,"19,469","32,505",no records found,no records found,http://www.plattecounty.net,Columbus,1856,685,47
Polk,Nebraska,"6,047","5,275",no records found,no records found,http://www.polkcounty.ne.gov,Osceola,1856,441,12
Red Willow,Nebraska,"9,053","11,006",no records found,no records found,http://www.co.red-willow.ne.us,McCook,1873,718,15
Richardson,Nebraska,"10,150","8,125",00-0000000,74-0171136,http://www.co.richardson.ne.us,Falls City,1855,555,15
Rock,Nebraska,"3,331","1,411",000000000,750000535,http://www.co.rock.ne.us/,Bassett,1888,1012,1
Saline,Nebraska,"10,962","14,416",No records found,No records found,http://www.co.saline.ne.us,Wilber,1867,576,25
Sarpy,Nebraska,n/a,"169,331",000000000,100571401,http://www.sarpy.com/,Papillion,1857,248,684
Saunders,Nebraska,"17,103","20,929",0000000,1178500,http://www.saunderscounty.ne.gov/,Wahoo,1856,760,28
Scotts Bluff,Nebraska,"20,988","36,848",00000000,10000000,http://www.scottsbluffcounty.org/,Gering,1881,745,49
Seward,Nebraska,"11,432","17,089",No records found,No records found,http://www.connectseward.org/cgov,Seward,1867,576,30
Sheridan,Nebraska,"9,079","5,251",000000000,810058375,http://www.sheridancountyne.com/,Rushville,1885,2470,2
Sherman,Nebraska,"4,112","3,106",0000000000,100000100,http://www.co.sherman.ne.us,Loup City,1871,572,5
