0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Fairfield,Connecticut,"279,477","939,904",-000000,-261146,NONE IN CT,,,,
Hartford,Connecticut,"292,829","898,272",AVON-000000-000000-000000-000000,AVON-000017-000000-000496-000011,NOT FOUND,,,,
Litchfield,Connecticut,"84,928","186,924",BRID-000000-000000,BRID-000008-001000,NOT FOUND,,,,
Middlesex,Connecticut,"68,995","165,562",MFLD-000000-000000-000000,MFLD-000001-000000-000001,NONE IN CT,,,,
New Haven,Connecticut,"273,591","862,287",ANSO-000000-000000-000000,ANSO-000003-000001-000009,NOT FOUND,,,,
New London,Connecticut,"103,163","274,150",BOZR-000000-000000,BOZR-000100-000000,NOT FOUND,,,,
Tolland,Connecticut,"57,666","151,377",0000-000-,1600-891-,NOT FOUND,,,,
Windham,Connecticut,"52,156","117,604",0000-00 – 000-000 – 00-0000 –,1402-00 – 000-000 – 00-0000 –,NO WEBSITE,,,,
