month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202103,47035,"cumberland, tn",299950,0.1132,0.1559,102,-0.0097,-0.7364,35.5,-0.297029703,-0.64321608,64,-0.1579,-0.36,0,,,12,0,-0.7692,174,-0.0279,0.1678,140.3696174,0.0178,0.1428,1903,0.0764,-0.0306,349514.3263,0.126,0.1663,276,-0.0213,-0.4851,1.705882353,-0.032,1.3209
202103,48309,"mclennan, tx",267400,0.0507,0.1626,205,-0.1529,-0.687,40,-0.157894737,-0.279279279,188,0.2703,-0.2879,4,-0.5,0,36,0,-0.8,466,0.013,0.1202,132.7033126,-0.0294,0.1285,1875.5,0.0221,-0.0627,401459.2399,0.0945,0.4575,671,-0.0442,-0.3735,2.273170732,0.3723,1.6381
202103,45075,"orangeburg, sc",187250,0.07,0.0122,125,-0.1554,-0.5229,79,-0.097142857,-0.365461847,36,-0.1,-0.1818,0,-1,,12,-0.5,-0.7,90,0.1392,0.5517,91.68536785,0.0452,-0.0056,1960,0.0041,-0.02,271268.2145,0.0807,0.1595,215,-0.0529,-0.3281,0.72,0.1862,0.4986
202103,54037,"jefferson, wv",355000,0.0678,0.1252,69,0.2545,-0.5369,17.5,-0.78125,-0.728682171,92,1.0909,0.6429,0,-1,,0,-1,-1,144,0.0141,1.1176,158.9086022,0.0302,0.1898,2100,0.0282,-0.0481,417271.2104,0.054,0.2167,213,0.0812,-0.0184,2.086956522,-0.4949,1.6306
202103,18095,"madison, in",97500,-0.1128,0.1477,92,-0.1481,-0.6489,38.5,-0.347457627,-0.23,72,0.5,-0.5714,4,,,20,-0.1667,-0.7059,223,-0.0262,0.1925,62.64591711,-0.1353,0.0821,1570,-0.0107,0.0026,158529.1137,-0.0597,0.2286,315,-0.0653,-0.2984,2.423913043,0.3035,1.7102
202103,47031,"coffee, tn",334900,0.1965,0.3198,45,-0.2969,-0.64,32,-0.2,-0.496062992,28,-0.4615,-0.5333,0,,,4,-0.5,-0.8,72,0.0909,-0.191,151.1198208,0.0577,0.2693,2030,0.1081,-0.0264,482552.5333,0.2445,0.4259,117,-0.1,-0.4533,1.6,0.5688,0.888
202103,8077,"mesa, co",514500,-0.0058,0.2895,225,-0.1313,-0.6383,41,-0.344,-0.203883495,192,0.2308,-0.4286,8,-0.3333,,36,-0.5263,-0.775,542,0.0797,0.1459,230.1348817,0.0085,0.2241,2080,0.0287,0.0107,701958.5142,-0.041,0.3774,767,0.0079,-0.2995,2.408888889,0.4707,1.6484
202103,39147,"seneca, oh",99000,-0.002,0.1647,54,-0.2703,-0.5645,417.5,0.366612111,6.803738318,20,-0.1667,-0.6154,0,,-1,8,-0.5,-0.75,85,-0.023,-0.0659,62.5,-0.0134,-0.0049,1518,0.004,-0.0269,178861.3726,0.0743,0.3832,139,-0.1366,-0.3535,1.574074074,0.3984,0.8402
202103,48183,"gregg, tx",304000,0.1945,0.3587,175,-0.1505,-0.6575,75,-0.157303371,0.171875,116,0.5263,-0.4423,0,-1,-1,28,-0.2222,-0.7407,189,-0.055,0.1053,119.9173478,0.0565,0.1691,2506,0.0181,0.1314,494168.6621,0.0997,0.4805,364,-0.1034,-0.4663,1.08,0.1091,0.7454
202103,32005,"douglas, nv",947450,-0.3109,0.2503,72,0.0435,-0.7198,33.5,-0.54109589,-0.730923695,72,-0.0526,0.125,0,-1,-1,8,0,-0.8571,149,0.042,-0.1287,464.2764424,-0.1108,0.4704,2567,-0.0936,0.0073,3283209.192,-0.211,0.5469,221,0.0425,-0.4836,2.069444444,-0.003,1.4041
