0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Muskogee,Oklahoma,"21,211","70,303",0,1,http://www.cityofmuskogee.com/,Muskogee,1907,840,84
Noble,Oklahoma,"10,327","11,446",0000-00-000-000-0-000-00,1000-00-001-005-0-001-00,http://www.noblecountyok.com/,Perry,1897,743,15
Nowata,Oklahoma,"8,273","10,555",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Nowata,1907,581,18
Okfuskee,Oklahoma,"10,839","12,377",0000-00-000-000-0-000-00,1100-00-918-012-0-027-00,N/A,Okemah,1907,629,20
Oklahoma,Oklahoma,"337,372","755,245",000000000,100011000,http://www.oklahomacounty.org,Oklahoma City,1891,718,1051
Okmulgee,Oklahoma,"26,963","39,438",0000-00-000-000-0-000-00,1100-00-001-001-0-001-00,N/A,Okmulgee,1907,702,56
Osage,Oklahoma,"41,392","47,987",0000000000,1679312110,N/A,Pawhuska,1907,"2,304",21
Ottawa,Oklahoma,"20,607","32,245",0000-00-000-000-0-000-00,1020-00-000-001-0-000-00,N/A,Shawnee,1891,793,90
Pawnee,Oklahoma,"15,200","16,513",0000-00-000-000-0-000-00,1001-00-001-000-0-001-00,N/A,Pawnee,1897,595,28
Payne,Oklahoma,"32,665","79,066",000000000,600000001,http://www.paynecounty.org/,Stillwater,1890,697,113
Pittsburg,Oklahoma,"43,632","44,703",0000-00-000-000-0-000-00,1000-00-001-001-0-001-00,http://pittsburg.okcounties.org/,McAlester,1907,"1,378",32
Pontotoc,Oklahoma,"24,042","37,992",0000-00-000-000-0-000-00,1000-00-001-001-0-000-00,N/A,Ada,1907,725,52
Pottawatomie,Oklahoma,"39,622","71,158",0000-00-000-000-0-000-00,1005-00-001-001-0-001-00,N/A,Shawnee,1891,793,90
Pushmataha,Oklahoma,"15,848","11,233",No Records Found,No Records Found,N/A,Antlers,1907,"1,423",8
Roger Mills,Oklahoma,"6,889","3,743",0000-00-000-000-0-000-00,1000-17-001-001-2-001-00,http://www.rogermills.org/,Cheyenne,1895,"1,146",3
Rogers,Oklahoma,"49,378","89,044",0000000,1048231,http://www.rogerscounty.org/,Claremore,1907,711,125
Seminole,Oklahoma,"19,356","25,426",0000-00-000-000-0-000-00,1000-00-001-001-0-000-00,N/A,Wewoka,1907,640,40
Sequoyah,Oklahoma,"24,564","41,218",0000-00-000-000-0-000-00,1005-00-001-001-0-000-00,N/A,Sallisaw,1907,714,58
Stephens,Oklahoma,"14,248","44,919",0000-00-000-000-0-000-00,1001-00-001-001-0-000-00,http://stephenscountyok.com/,Duncan,1907,891,50
Texas,Oklahoma,"15,876","22,081",000000000,700501352,http://www.txcountyok.com/,Guymon,1907,"2,049",11
Tillman,Oklahoma,"10,584","7,711",0,1,http://tillmancounty.org/,Frederick,1907,879,9
Tulsa,Oklahoma,"267,615","622,409",00000-00-00-00000,10000-83-03-00010,http://www.tulsacounty.org,Tulsa,1907,587,1060
Wagoner,Oklahoma,"46,124","75,700",No Records Found,No Records Found,http://www.ok.gov/wagonercounty/,Wagoner,1907,591,128
Washington,Oklahoma,"27,863","51,577",0000000,1013356,http://www.countycourthouse.org,Bartlesville,1907,424,122
Washita,Oklahoma,"12,015","11,678",No Records Found,No Records Found,N/A,Cordell,1897,"1,009",12
Woods,Oklahoma,"11,130","9,041",0000-00-000-000-0-000-UR,1001-00-002-009-0-000-UR,N/A,Alva,1893,"1,290",7
Woodward,Oklahoma,"16,387","21,221",No Records Found,No Records Found,http://woodwardcounty.org/,Woodward,1907,"1,246",17
