0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Lawrence,Indiana,"31,062","45,844",00-00-00-000-000.000-000,47-05-10-300-003.000-013,http://bedfordonline.com/government/lawrence/,Bedford,1819,452,101
Madison,Indiana,"85,139","130,482",0-0-0A-0C,1-1-2A-2C,http://www.madisoncty.com,Anderson,1823,453,288
Marion,Indiana,"342,318","928,281",0000000,1000239,http://www.indygov.org,Indianapolis,1821,403,2303
Marshall,Indiana,"35,039","47,109",00-00-00-000-000.000-000,50-41-34-000-030.004-017,http://www.co.marshall.in.us/,Plymouth,1835,450,105
Martin,Indiana,"9,946","10,160",No records found,No records found,Not found,Shoals,1820,340,30
Miami,Indiana,"23,289","36,140",No records found,No records found,http://www.miamicountyin.gov,Peru,1832,377,96
Monroe,Indiana,"62,771","141,888",No records found,No records found,http://www.co.monroe.in.us,Bloomington,1818,411,345
Montgomery,Indiana,"22,913","38,177",No records found,No records found,http://www.montgomeryco.net,Crawfordsville,1823,505,76
Morgan,Indiana,"41,589","69,782",No records found,No records found,http://www.morgancounty.in.gov/,Martinsville,1821,409,170
Newton,Indiana,"11,479","14,087",No records found,No records found,http://www.newtoncounty.in.gov/,Kentland,1857,403,35
Noble,Indiana,"26,498","47,570",000000000000000000,570709100008000019,http://nobleco.squarespace.com/,Albion,1835,417,114
Ohio,Indiana,"3,358","5,994",No records found,No records found,Not found,Rising Sun,1844,87,69
Orange,Indiana,"27,315","19,773",No records found,No records found,http://www.co.orange.in.us/,Paoli,1815,408,48
Owen,Indiana,"17,529","21,201",00-00-00-000-000.000-000,60-16-26-203-080.001-017,http://www.owencounty.in.gov/,Spencer,1818,388,55
Parke,Indiana,"19,478","17,202",00-00-00-000-000.000-000,16-16-27-000-302.000-007,http://www.parkecounty-in.gov/,Rockville,1821,450,38
Perry,Indiana,"17,107","19,558",00-00-00-000-000.000-000,13-05-17-100-001.000-009,http://www.perrycounty.IN.gov,Tell City,1814,386,51
Pike,Indiana,"17,164","12,683",No records found,No records found,Not found,Petersburg,1816,341,37
Porter,Indiana,"79,718","166,557",00-00-00-000-00 . –,10-00-00-383-03 . –,http://www.porterco.org/,Valparaiso,1835,522,319
Posey,Indiana,"19,516","25,486",00-00-00-000-000.000-000,65-06-08-200-029.006-005,http://www.poseycountyin.gov,Mount Vernon,1814,419,61
Pulaski,Indiana,"17,581","13,007",00-00-00-000-000.000-000,66-00-00-044-683.001-009,http://www.pulaskionline.org/,Winamac,1835,435,30
Putnam,Indiana,"25,877","37,505",00-00-000-000.0 –,11-52-700-800.0 –,http://www.co.putnam.in.us/,Greencastle,1821,483,78
Randolph,Indiana,"18,435","25,627",000-00000-00,130-00565-00,http://www.randolphcounty.us/,Winchester,1818,453,57
Ripley,Indiana,"17,953","28,419",No records found,No records found,http://www.ripleycounty.com,Versailles,1816,448,63
Rush,Indiana,"12,886","17,004",No records found,No records found,http://www.rushcounty.in.gov/,Rushville,1821,408,42
St. Joseph,Indiana,"121,237","266,709",00-0000-0000,11-1043-0574,http://www.stjosephcountyindiana.com,South Bend,1830,461,578
Scott,Indiana,"14,676","23,972",00-00-00-000-000.000-000,10-07-26-300-030.000-028,Not found,Scottsburg,1820,193,124
Shelby,Indiana,"29,618","44,729",00-00-00-000-0.,18-09-00-700-0.,http://www.co.shelby.in.us/,Shelbyville,1821,413,108
Spencer,Indiana,"22,871","20,944",00-00-00-000-000.000-000,14-75-26-302-015.000-018,http://spencercounty.in.gov,Rockport,1818,401,52
Starke,Indiana,"20,529","23,197",00-00-00-000-000.000-000,15-02-35-500-001.000-015,http://co.starke.in.us/,Knox,1835,312,74
Steuben,Indiana,"38,556","34,358",00-00-00-000-000.000-000,76-10-01-000-001.000-009,http://www.co.steuben.in.us,Angola,1835,322,107
Sullivan,Indiana,"17,914","21,223",00-00-00-000-000.000-000,11-30-33-200-200.000-007,n/a,Sullivan,1816,454,47
Switzerland,Indiana,"7,917","10,526",00-00-00-000-000.000-000,78-11-06-444-001.000-006,http://www.switzerland-county.com/,Vevay,1814,223,47
Tippecanoe,Indiana,"76,959","180,174",00-00-00-000-000. –,10-80-15-000-203. –,http://www.tippecanoe.in.gov/,Lafayette,1826,503,358
Tipton,Indiana,"13,349","15,650",No records found,No records found,http://www.tiptoncounty.in.gov/,Tipton,1844,261,60
Union,Indiana,"6,456","7,277",00-00-00-000-000.000-000,81-07-10-101-009.000-006,n/a,Liberty,1821,165,44
Vanderburgh,Indiana,"78,201","181,398",00-000-00-000-000,10-140-18-158-035,http://www.vanderburghgov.org/,Evansville,1818,236,768
Vermillion,Indiana,"12,467","15,878",00-00-00-000-000.000-000,18-31-32-224-011.110-002,http://www.vermilliongov.us/,Newport,1824,260,61
Vigo,Indiana,"59,488","108,291",0-00-00-00-000-000,1-01-02-03-400-003,http://www.vigocounty.in.gov/,Terre Haute,1818,410,264
Wabash,Indiana,"19,107","32,358",No records found,No records found,http://www.wabashcounty.in.gov/,Wabash,1832,421,77
Warren,Indiana,"10,554","8,415",No records found,No records found,n/a,Williamsport,1827,366,23
Warrick,Indiana,"38,734","61,049",No records found,No records found,http://www.warrickcounty.gov/,Boonville,1813,391,156
Washington,Indiana,"18,939","27,780",00-00-00-000-000.000-000,10-13-03-200-023.000-035,http://www.washingtoncounty.in.gov/,Salem,1813,517,54
Wayne,Indiana,"35,350","67,893",00-00-00-000-000.,13-07-07-000-030.,http://www.co.wayne.in.us/,Richmond,1810,404,168
Wells,Indiana,"17,596","27,814",No records found,No records found,http://www.wellscounty.org/,Bluffton,1835,370,75
White,Indiana,"24,407","24,466",No records found,No records found,http://www.whitecountyindiana.us/,Monticello,1834,509,48
Whitley,Indiana,"19,502","33,294",00-00-00-000-000.000-0,10-01-11-210-190.000-6,http://www.whitleygov.com,Columbia City,1835,338,99
