0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Ouachita,Arkansas,"16,746","25,002",000-00000-000R,100-00001-000R,n/a,Camden,1842,740,34
Perry,Arkansas,"18,665","10,345",000-00000-000,100-00100-001,n/a,Perryville,1840,561,18
Phillips,Arkansas,"7,276","20,399",000-00000-000,100-00001-000,n/a,Helena,1820,727,28
Pike,Arkansas,"10,812","11,177",000-00000-000,120-00001-000,n/a,Murfreesboro,1833,614,18
Poinsett,Arkansas,"17,516","24,145",000-00000-0000,100-00001-0000,http://www.poinsettcounty.us/,Harrisburg,1838,764,32
Polk,Arkansas,"18,080","20,406",0000-00136-0000,0000-00136-0000,n/a,Mena,1844,862,24
Pope,Arkansas,"30,296","62,547",000-00000-000E,111-11111-111E,http://www.popecountyar.com/,Russellville,1829,831,75
Prairie,Arkansas,"7,998","8,374",000-00000-000,001-00001-000,n/a,Des Arc and De Valls Bluff,1846,676,12
Pulaski,Arkansas,"174,523","391,284",00A-000-00-000-00,11A-001-00-001-00,http://pulaskicounty.net/,Little Rock,1818,808,484
Randolph,Arkansas,"16,645","17,692",000-00000-000,100-00001-000,http://www.randolphchamber.com/,Pocahontas,1835,656,27
St. Francis,Arkansas,"7,006","27,260",0000-00000-0000,0001-00002-0000,n/a,Forrest City,1827,643,42
Saline,Arkansas,"73,326","114,404",000-00000-000,100-00001-000,http://www.salinecounty.org/,Benton,"1,835",730,157
Scott,Arkansas,"5,203","10,950",000-00000-000,174-00100-000,n/a,Waldron,"1,833",898,12
Searcy,Arkansas,n/a,"8,023",000-00000-000,001-07364-000,n/a,Marshall,"1,838",669,12
Sebastian,Arkansas,"57,474","127,342",00000-0000-00000-00,10004-0001-00000-00,http://www.sebastiancountyar.gov/,Greenwood and Fort Smith,"1,851",546,233
Sevier,Arkansas,"12,115","17,366",000-00000-000,002-00001-000,http://www.seviercounty-ar.gov/,De Queen,"1,828",581,30
Sharp,Arkansas,"45,325","17,049",000-00000-000,100-00001-000,http://www.sharpcounty.org,Ash Flat,"1,868",606,28
Stone,Arkansas,"15,209","12,581",000-00000-000,100-00003-000,n/a,Mountain View,"1,873",609,21
Union,Arkansas,"27,140","40,694",0000-00000-000,1000-00001-000,http://unioncountyar.com/,El Dorado,1829,"1,055",39
Van Buren,Arkansas,"21,573","16,932",0000-00000-0000,1050-01001-0000,http://www.vanburencountyar.com/,Clinton,"1,833",724,23
Washington,Arkansas,"98,830","216,410",000-00000-000,100-00003-000,http://www.co.washington.ar.us,Fayetteville,"1,828",952,227
White,Arkansas,"45,690","78,483",00000000000,12518601055,http://www.whitecountyar.org/,Searcy,1835,"1,042",75
Woodruff,Arkansas,"10,364","7,072",000-00000-000,001-00001-000,n/a,Augusta,1862,594,12
Yell,Arkansas,n/a,"21,893",000-00000-000,100-00001-000,http://yellcounty.net/,Dardanelle and Danville,"1,840",949,23
